0000 | ILLEGAL OPCODE
0083 | b'Ready.\n> '
0084 | b'*** BREAK INTO MONITOR AT $0084 ***\nR0=$0059 R1=$0004 R2=$E002 R3=$0084\nSP=$FEFA [85004CF216F0000000000000]\nReady.\n> '
0085 | b'*** BREAK INTO MONITOR AT $0088 ***\nR0=$409A R1=$0005 R2=$E002 R3=$0085\nSP=$FEFA [89004CF216F0000000000000]\nReady.\n> '
0086 | b'Ready.\n> '
0087 | b'*** BREAK INTO MONITOR AT $0088 ***\nR0=$0000 R1=$0007 R2=$E002 R3=$0087\nSP=$FEFA [89004CF216F0000000000000]\nReady.\n> '
0088 | b'*** BREAK INTO MONITOR AT $0088 ***\nR0=$0059 R1=$0008 R2=$E002 R3=$0088\nSP=$FEFA [89004CF216F0000000000000]\nReady.\n> '
0089 | b'Ready.\n> '
008A | b'*** BREAK INTO MONITOR AT $008A ***\nR0=$0059 R1=$000A R2=$E002 R3=$008A\nSP=$FEFA [8B004CF216F0000000000000]\nReady.\n> '
008B | b'*** BREAK INTO MONITOR AT $008E ***\nR0=$409A R1=$000B R2=$E002 R3=$008B\nSP=$FEFA [8F004CF216F0000000000000]\nReady.\n> '
008C | b'Ready.\n> '
008D | b'*** BREAK INTO MONITOR AT $008E ***\nR0=$0000 R1=$000D R2=$E002 R3=$008D\nSP=$FEFA [8F004CF216F0000000000000]\nReady.\n> '
008E | b'*** BREAK INTO MONITOR AT $008E ***\nR0=$0059 R1=$000E R2=$E002 R3=$008E\nSP=$FEFA [8F004CF216F0000000000000]\nReady.\n> '
008F | b'Ready.\n> '
0090 | b'Ready.\n> '
0091 | b'Ready.\n> '
0092 | b'Ready.\n> '
0093 | b'*** BREAK INTO MONITOR AT $A200 ***\nR0=$0059 R1=$0003 R2=$E002 R3=$0093\nSP=$FEF8 [01A296004CF216F000000000]\nReady.\n> '
0094 | b'*** BREAK INTO MONITOR AT $0094 ***\nR0=$0059 R1=$0004 R2=$E002 R3=$0094\nSP=$FEFA [95004CF216F0000000000000]\nReady.\n> '
0095 | b'Ready.\n> '
0096 | b'*** BREAK INTO MONITOR AT $0096 ***\nR0=$0059 R1=$0006 R2=$E002 R3=$0096\nSP=$FEFA [97004CF216F0000000000000]\nReady.\n> '
0097 | b'*** BREAK INTO MONITOR AT $0097 ***\nR0=$0059 R1=$0007 R2=$E002 R3=$0097\nSP=$FEFA [98004CF216F0000000000000]\nReady.\n> '
0098 | b'Ready.\n> '
0099 | b'*** BREAK INTO MONITOR AT $AA00 ***\nR0=$0059 R1=$0009 R2=$E002 R3=$0099\nSP=$FEF8 [01AA9C004CF216F000000000]\nReady.\n> '
009A | b'*** BREAK INTO MONITOR AT $009A ***\nR0=$0059 R1=$000A R2=$E002 R3=$009A\nSP=$FEFA [9B004CF216F0000000000000]\nReady.\n> '
009B | b'Ready.\n> '
009C | b'Ready.\n> '
009D | b'Ready.\n> '
009E | b'*** BREAK INTO MONITOR AT $009F ***\nR0=$0059 R1=$000E R2=$E002 R3=$009E\nSP=$FEFA [A0004CF216F0000000000000]\nReady.\n> '
009F | b'*** BREAK INTO MONITOR AT $009F ***\nR0=$0059 R1=$000F R2=$E002 R3=$009F\nSP=$FEFA [A0004CF216F0000000000000]\nReady.\n> '
00A0 | b'Ready.\n> '
00A1 | b'0059Ready.\n> '
00A2 | b'5900Ready.\n> '
00A3 | b'*** BREAK INTO MONITOR AT $00A4 ***\nR0=$0059 R1=$0003 R2=$E003 R3=$00A3\nSP=$FEFA [A5004CF216F0000000000000]\nReady.\n> '
00A4 | b'*** BREAK INTO MONITOR AT $00A4 ***\nR0=$0059 R1=$0004 R2=$E002 R3=$00A4\nSP=$FEFA [A5004CF216F0000000000000]\nReady.\n> '
00A5 | b'00Ready.\n> '
00A6 | b'59Ready.\n> '
00A7 | b'*** BREAK INTO MONITOR AT $00A8 ***\nR0=$0059 R1=$0007 R2=$E003 R3=$00A7\nSP=$FEFA [A9004CF216F0000000000000]\nReady.\n> '
00A8 | b'*** BREAK INTO MONITOR AT $00A8 ***\nR0=$0059 R1=$0008 R2=$E002 R3=$00A8\nSP=$FEFA [A9004CF216F0000000000000]\nReady.\n> '
00A9 | b'Ready.\n> '
00AA | b'59Ready.\n> '
00AB | ILLEGAL OPCODE
00AC | ILLEGAL OPCODE
00AD | ILLEGAL OPCODE
00AE | ILLEGAL OPCODE
00AF | ILLEGAL OPCODE
00B0 | b'*** BREAK INTO MONITOR AT $00B1 ***\nR0=$002C R1=$0000 R2=$E002 R3=$00B0\nSP=$FEFA [B2004CF216F0000000000000]\nReady.\n> '
00B1 | b'*** BREAK INTO MONITOR AT $00B1 ***\nR0=$0059 R1=$0001 R2=$E002 R3=$00B1\nSP=$FEFA [B2004CF216F0000000000000]\nReady.\n> '
00B2 | ILLEGAL OPCODE
00B3 | b'9Ready.\n> '
00B4 | b'*** BREAK INTO MONITOR AT $00B4 ***\nR0=$0059 R1=$0004 R2=$E002 R3=$00B4\nSP=$FEFA [B5004CF216F0000000000000]\nReady.\n> '
00B5 | ILLEGAL OPCODE
00B6 | b'9Ready.\n> '
00B7 | ILLEGAL OPCODE
00B8 | b'*** BREAK INTO MONITOR AT $00B9 ***\nR0=$002C R1=$0008 R2=$E002 R3=$00B8\nSP=$FEFA [BA004CF216F0000000000000]\nReady.\n> '
00B9 | b'*** BREAK INTO MONITOR AT $00B9 ***\nR0=$0059 R1=$0009 R2=$E002 R3=$00B9\nSP=$FEFA [BA004CF216F0000000000000]\nReady.\n> '
00BA | ILLEGAL OPCODE
00BB | b'Ready.\n> '
00BC | b'*** BREAK INTO MONITOR AT $00BC ***\nR0=$0059 R1=$000C R2=$E002 R3=$00BC\nSP=$FEFA [BD004CF216F0000000000000]\nReady.\n> '
00BD | ILLEGAL OPCODE
00BE | b'Ready.\n> '
00BF | b'rReady.\n> '
00C0 | ILLEGAL OPCODE
00C1 | b'*** BREAK INTO MONITOR AT $00C1 ***\nR0=$0059 R1=$0001 R2=$E002 R3=$00C1\nSP=$FEFA [C2004CF216F0000000000000]\nReady.\n> '
00C2 | b'\x00Ready.\n> '
00C3 | b'YReady.\n> '
00C4 | b'Ready.\n> '
00C5 | b'Ready.\n> '
00C6 | b'Ready.\n> '
00C7 | b'Ready.\n> '
00C8 | b'Ready.\n> '
00C9 | b'Ready.\n> '
00CA | b'Ready.\n> '
00CB | b'Ready.\n> '
00CC | b'Ready.\n> '
00CD | b'Ready.\n> '
00CE | b'Ready.\n> '
00CF | b'Ready.\n> '
00D0 | b'Ready.\n> '
00D1 | b'Ready.\n> '
00D2 | b'Ready.\n> '
00D3 | b'Ready.\n> '
00D4 | b'Ready.\n> '
00D5 | b'Ready.\n> '
00D6 | b'Ready.\n> '
00D7 | ILLEGAL OPCODE
00D8 | ILLEGAL OPCODE
00D9 | b'Ready.\n> '
00DA | b'Ready.\n> '
00DB | b'*** BREAK INTO MONITOR AT $00DB ***\nR0=$0059 R1=$000B R2=$E002 R3=$00DB\nSP=$FEFA [DC004CF216F0000000000000]\nReady.\n> '
00DC | b'*** BREAK INTO MONITOR AT $00DF ***\nR0=$409A R1=$000C R2=$E002 R3=$00DC\nSP=$FEFA [E0004CF216F0000000000000]\nReady.\n> '
00DD | b'Ready.\n> '
00DE | b'*** BREAK INTO MONITOR AT $00DF ***\nR0=$0000 R1=$000E R2=$E002 R3=$00DE\nSP=$FEFA [E0004CF216F0000000000000]\nReady.\n> '
00DF | b'*** BREAK INTO MONITOR AT $00DF ***\nR0=$0059 R1=$000F R2=$E002 R3=$00DF\nSP=$FEFA [E0004CF216F0000000000000]\nReady.\n> '
00E0 | b'Ready.\n> '
