0000 | ILLEGAL OPCODE
003D | b'*** BREAK INTO MONITOR AT $003D ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [3E000F104CF216F000000000]\nReady.\n> '
003E | b'*** BREAK INTO MONITOR AT $003E ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [3F000F104CF216F000000000]\nReady.\n> '
003F | b'*** BREAK INTO MONITOR AT $003F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [40000F104CF216F000000000]\nReady.\n> '
0040 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0041 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0042 | b'*** BREAK INTO MONITOR AT $0042 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [43000F104CF216F000000000]\nReady.\n> '
0043 | b'*** BREAK INTO MONITOR AT $0046 ***\nR0=$409A R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [47000F104CF216F000000000]\nReady.\n> '
0044 | b'\xff*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0045 | b'*** BREAK INTO MONITOR AT $0046 ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [47000F104CF216F000000000]\nReady.\n> '
0046 | b'*** BREAK INTO MONITOR AT $0046 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [47000F104CF216F000000000]\nReady.\n> '
0047 | b'\xff*** BREAK INTO MONITOR AT $100F ***\nR0=$00FF R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0048 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0049 | b'*** BREAK INTO MONITOR AT $0049 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [4A000F104CF216F000000000]\nReady.\n> '
004A | b'*** BREAK INTO MONITOR AT $004A ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [4B000F104CF216F000000000]\nReady.\n> '
004B | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
004C | b'*** BREAK INTO MONITOR AT $004D ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [4E000F104CF216F000000000]\nReady.\n> '
004D | b'*** BREAK INTO MONITOR AT $004D ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [4E000F104CF216F000000000]\nReady.\n> '
004E | b'\x00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
004F | ILLEGAL OPCODE
0050 | b'*** BREAK INTO MONITOR AT $0050 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [51000F104CF216F000000000]\nReady.\n> '
0051 | b'FF00*** BREAK INTO MONITOR AT $100F ***\nR0=$FF00 R1=$0000 R2=$0003 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0052 | b'*** BREAK INTO MONITOR AT $0053 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [54000F104CF216F000000000]\nReady.\n> '
0053 | b'*** BREAK INTO MONITOR AT $0053 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [54000F104CF216F000000000]\nReady.\n> '
0054 | b'\x00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0055 | ILLEGAL OPCODE
0056 | b'*** BREAK INTO MONITOR AT $0056 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [57000F104CF216F000000000]\nReady.\n> '
0057 | b'00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0003 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0058 | b'*** BREAK INTO MONITOR AT $0059 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [5A000F104CF216F000000000]\nReady.\n> '
0059 | b'*** BREAK INTO MONITOR AT $0059 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [5A000F104CF216F000000000]\nReady.\n> '
005A | b'\x00*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
005B | b'*** BREAK INTO MONITOR AT $005F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [60000F104CF216F000000000]\nReady.\n> '
005C | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0001 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
005D | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
005E | b'*** BREAK INTO MONITOR AT $005F ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [60000F104CF216F000000000]\nReady.\n> '
005F | b'*** BREAK INTO MONITOR AT $005F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [60000F104CF216F000000000]\nReady.\n> '
0060 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0061 | b'FF00*** BREAK INTO MONITOR AT $100F ***\nR0=$FF00 R1=$0000 R2=$0003 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
